Voltage (V);Current (A);Temp (C);SOC (estimated);SOC (messured)
4,187729421;-0,005436166;23,89438565;1;1
4,187565876;-0,005436166;23,77678138;1;1
4,187277258;-0,005436166;23,77370782;1;1
4,186996778;-0,005436166;23,78108097;1;1
4,186710054;-0,005436166;23,81420054;1;1
4,186454925;-0,005436166;23,93020416;1;1
4,186303339;-0,005436166;23,76123477;1;1
4,186014722;-0,005436166;23,88351324;1;1
4,185899373;-0,005436166;23,65610356;1;1
4,185618037;-0,005436166;23,85936745;1;1
4,185499938;-0,005436166;23,9021845;1;1
4,185211321;-0,005436166;23,69309701;1;1
4,185093223;-0,005436166;23,77058317;1;1
4,184930285;-0,005436166;23,89401103;1;1
4,184759766;-0,005436166;23,77603215;1;1
4,184599278;-0,005436166;23,7483871;1;1
4,184460341;-0,005436166;23,82742282;1;1
4,184342243;-0,005436166;23,8130256;1;1
4,184224145;-0,005436166;23,67712469;1;1
4,184087721;-0,005436166;23,76123477;1;1
4,183917202;-0,005436166;23,76123477;1;1
4,183746683;-0,005436166;23,76123477;1;1
4,183581232;-0,005436166;23,86324134;1;1
4,183469783;-0,005436166;23,76123477;1;1
4,186474986;-0,099582288;23,76123477;1;0,999826667
4,165833166;-0,2282374;23,7950411;1;0,99579
4,139140938;-0,102428643;23,86636598;0,988846179;0,985236667
4,138127855;-0,099870423;23,86636598;0,984194654;0,982246667
4,029641376;-2,251472546;24,07661842;0,960362323;0,959040824
4,087383647;0,05326297;24,18174963;0,946115317;0,94505
4,117972945;1,847563834;24,07661842;0,927867398;0,941228246
4,058324997;-1,074671714;24,07661842;0,921099819;0,935260706
4,112842664;0,795995903;24,07661842;0,915084859;0,933702427
3,90372634;-6,413266342;24,18174963;0,897427454;0,905748076
4,077593636;-0,101831843;24,28688085;0,899275361;0,90297
3,966795397;-4,801243765;24,28688085;0,896546512;0,897525497
4,117806011;2,196706695;24,28688085;0,887944381;0,890862393
4,048240338;-0,128135812;24,18174963;0,878053556;0,878406667
4,098811305;1,702147181;24,18174963;0,876378434;0,877239531
4,120281657;3,553476204;23,90909835;0,86640378;0,875240216
3,988796941;-3,243316586;24,07661842;0,881218915;0,868664237
4,045144167;-0,175195313;23,9714972;0,873781837;0,862013333
3,97547286;-1,674644116;23,9714972;0,860701388;0,849361494
3,989354408;0,466745117;24,28688085;0,840890247;0,824670483
4,021633336;-0,184101784;24,01568523;0,847463537;0,826798068
3,989676083;-0,255598432;24,07661842;0,831575932;0,816859952
4,024966111;0,82662458;24,18174963;0,830281357;0,815211156
3,877584965;-2,86913255;23,9714972;0,801036358;0,796879772
3,892971791;-2,80532697;24,39201206;0,796528632;0,782808182
4,045526403;4,819107902;24,49714327;0,787451699;0,777815956
3,962625631;0,344230407;24,28688085;0,783987641;0,772067292
4,007335582;3,847627804;24,18174963;0,769436585;0,76302281
3,967167229;1,145817042;24,28688085;0,762247778;0,756857234
3,897877501;-2,211667775;24,07661842;0,758703011;0,755043506
3,944368201;-0,10516542;24,28688085;0,758185692;0,75195
3,930335497;-0,107525095;24,07661842;0,750522431;0,744356667
3,890505804;0,143908845;24,07661842;0,730761577;0,733840682
3,799073983;-2,162379221;24,18174963;0,711691704;0,709303869
3,858135777;-1,215233942;24,18174963;0,71253026;0,703856688
3,847824397;-1,195070905;24,28688085;0,700387604;0,698242341
3,878427529;-0,107525095;24,07661842;0,696440341;0,69343
3,866767407;-0,5592099;24,07661842;0,688795884;0,69052021
3,925569592;5,987451774;24,28688085;0,653987568;0,655356175
3,797100031;-1,70058984;24,39201206;0,66125121;0,655559371
3,782943252;-1,284145968;24,39201206;0,647984918;0,645336368
3,833280136;-0,109333762;24,07661842;0,651675698;0,645473333
3,821072986;0,076236976;24,49714327;0,636470941;0,632597139
3,81941795;-0,107525095;23,9714972;0,63447771;0,630593333
3,820429282;-0,102428643;24,07661842;0,633413454;0,627773333
3,901295634;4,913192897;24,18174963;0,6158589;0,618055974
3,803870636;-0,110083314;24,07661842;0,621559096;0,61558
3,674363957;-2,556850532;23,9714972;0,593150296;0,59261037
3,739285893;-0,177462356;24,28688085;0,586670778;0,575756667
3,738741618;-0,120857424;24,28688085;0,578225323;0,572053333
3,747463794;-0,592467493;23,86636598;0,575039321;0,567022542
3,76612577;1,194022735;23,9714972;0,564984656;0,561960534
3,659851232;0,219167472;24,39201206;0,532103717;0,53527496
3,701762276;-0,418711174;24,49714327;0,540143003;0,527970258
3,673392089;-1,758875476;24,39201206;0,530393961;0,524110712
3,633612502;-2,539881764;24,18174963;0,51488508;0,515174856
3,602893481;-2,578165113;24,28688085;0,49588707;0,501711381
3,679319198;-0,247907365;24,18174963;0,504985749;0,500534463
3,685008913;-0,168782449;24,07661842;0,504521323;0,499103014
3,643603614;-0,299526377;24,07661842;0,489925438;0,48967
3,618496354;-1,993923224;23,9714972;0,489553217;0,484284032
3,627187419;-0,198892975;24,07661842;0,474792694;0,472268668
3,524426687;-1,733208653;24,07661842;0,444454884;0,442765542
3,628707576;-0,114501612;24,39201206;0,45147173;0,44328
3,555481085;-1,724219503;24,07661842;0,43049975;0,433372964
3,626587102;-0,119336931;24,09115451;0,433168643;0,431836667
3,387920019;-7,876766393;24,18174963;0,406264147;0,414901321
3,567329507;-0,694556422;24,49714327;0,406194086;0,396973283
3,484919248;-4,540898719;24,60227449;0,398706542;0,389375646
3,584935309;-0,115503674;24,39201206;0,394383843;0,382326667
3,524731152;-1,261171962;24,07661842;0,378684384;0,372796886
3,589224253;1,464710365;24,49714327;0,371832157;0,363203281
3,546506698;-1,470466258;24,18174963;0,381590665;0,36318759
3,660159408;5,17933905;24,07661842;0,366640359;0,357475383
3,557691458;-0,117737985;24,39201206;0,371348959;0,35065
3,456170119;-3,682080805;24,07661842;0,362883137;0,342977179
3,418459382;-2,859537683;24,39201206;0,340834394;0,31545882
3,512119559;0,112287136;24,60227449;0,334707927;0,305573333
3,484452627;-0,505687906;24,28688085;0,320058708;0,299824743
3,501110028;-0,166634986;24,39201206;0,31150092;0,292972589
3,49469243;-0,102961414;24,28688085;0,300777298;0,290331141
3,34982612;-2,067386991;24,7074057;0,261086254;0,25219056
3,444838418;-1,247067732;24,7074057;0,275540427;0,252606306
3,35783372;-1,526617167;24,49714327;0,246906198;0,23972051
3,452531432;-0,118747974;24,49714327;0,255839963;0,238626667
3,41029162;-0,730723919;24,60227449;0,232483524;0,22403446
3,430384033;-0,120286211;24,39201206;0,232794432;0,221716667
3,35124306;-2,223392094;24,39201206;0,224689107;0,216865995
3,274260117;-3,604200819;24,39201206;0,20392462;0,206845504
3,391398571;-0,099870423;24,39201206;0,201261342;0,204286667
3,184722053;-2,606234907;24,49714327;0,166771544;0,181649889
3,164184567;-5,36466979;25,02278935;0,149281345;0,159854727
